,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
0,Afghanistan,3392,168,104,9,458,2830,7,87,3,13777,354
1,Albania,832,12,31,0,595,206,7,289,11,9531,3312
2,Algeria,4997,159,476,6,2197,2324,22,114,11,6500,148
3,Andorra,751,0,46,0,521,184,15,9720,595,1673,21653
4,Angola,36,0,2,0,11,23,0,1,0.06,3000,91
5,Anguilla,3,0,0,0,3,0,0,200,0,0,0
6,AntiguaandBarbuda,25,0,3,0,16,6,1,255,31,153,1562
7,Argentina,5020,0,264,0,1524,3232,148,111,6,72315,1600
8,Armenia,2782,163,40,0,1135,1607,10,939,13,26929,9088
9,Aruba,101,0,2,0,89,10,4,946,19,1798,16841
10,Australia,6875,26,97,1,5984,794,27,270,4,688656,27006
11,Austria,15684,34,608,2,13639,1437,97,1741,68,292254,32450
12,Azerbaijan,2127,67,28,2,1536,563,18,210,3,169790,16746
13,Bahamas,89,0,11,0,26,52,1,226,28,1485,3776
14,Bahrain,3934,214,8,0,1860,2066,4,2312,5,160341,94231
15,Bangladesh,11719,790,186,3,1403,10130,1,71,1,99646,605
16,Barbados,82,0,7,0,47,28,4,285,24,2549,8870
17,Belarus,19255,905,112,5,4388,14755,92,2038,12,220045,23287
18,Belgium,50781,272,8339,323,12731,29711,646,4382,720,474176,40914
19,Belize,18,0,2,0,16,0,0,45,5,1043,2623
20,Benin,96,0,2,0,50,44,0,8,0.2,0,0
21,Bermuda,115,0,7,0,54,54,4,1847,112,3374,54176
22,Bhutan,7,0,0,0,5,2,0,9,0,11373,14739
23,Bolivia,1802,121,86,4,187,1529,3,154,7,7651,655
24,BosniaandHerzegovina,1987,41,86,7,928,973,4,606,26,36492,11123
25,Botswana,23,0,1,0,8,14,0,10,0.4,9066,3855
26,Brazil,121600,6885,8022,101,48221,65357,8318,572,38,339552,1597
27,BritishVirginIslands,7,0,1,0,3,3,0,232,33,132,4366
28,Brunei,139,1,1,0,131,7,2,318,2,14754,33725
29,Bulgaria,1778,74,84,4,360,1334,38,256,12,51768,7450
30,BurkinaFaso,729,41,48,0,555,126,0,35,2,0,0
31,Burundi,15,0,1,0,7,7,0,1,0.08,284,24
32,CAR,94,9,0,0,10,84,0,19,0,3498,724
33,CaboVerde,191,5,2,0,38,151,0,344,4,791,1423
34,Cambodia,122,0,0,0,120,2,1,7,0,12611,754
35,Cameroon,2265,161,64,0,1000,1201,12,85,2,0,0
36,Canada,63375,1329,4223,180,26993,32159,502,1679,112,940567,24921
37,CaribbeanNetherlands,6,0,0,0,0,6,0,229,0,110,4195
38,CaymanIslands,78,3,1,0,30,47,3,1187,15,2752,41873
39,Chad,170,0,17,0,43,110,0,10,1,0,0
40,ChannelIslands,545,0,40,0,406,99,0,3135,230,5342,30725
41,Chile,23048,1032,281,6,11189,11578,470,1206,15,232108,12142
42,China,82883,2,4633,0,77911,339,26,58,3,0,0
43,Colombia,8613,0,378,0,2013,6222,128,169,7,127105,2498
44,Comoros,4,1,1,1,0,3,0,5,1,0,0
45,Congo,264,28,10,0,30,224,0,48,2,0,0
46,CostaRica,755,0,6,0,413,336,5,148,1,14121,2772
47,Croatia,2119,7,85,2,1601,433,14,516,21,41053,10000
48,Cuba,1703,18,69,0,1001,633,8,150,6,57711,5095
49,Curaçao,16,0,1,0,13,2,0,98,6,374,2279
50,Cyprus,883,5,15,0,296,572,15,731,12,66975,55472
51,Czechia,7933,37,262,5,4202,3469,59,741,24,278519,26008
52,DRC,797,92,35,1,92,670,0,9,0.4,0,0
53,Denmark,9938,117,506,3,7493,1939,46,1716,87,270680,46732
54,DiamondPrincess,712,0,13,0,645,54,4,0,0,0,0
55,Djibouti,1120,0,2,0,745,373,0,1134,2,14378,14553
56,Dominica,16,0,0,0,14,2,0,222,0,416,5779
57,DominicanRepublic,8807,327,362,8,1905,6540,144,812,33,33377,3077
58,Ecuador,31881,0,1569,0,3433,26879,159,1807,89,80171,4544
59,Egypt,7588,387,469,17,1815,5304,0,74,5,90000,879
60,ElSalvador,633,46,15,2,219,399,4,98,2,33628,5185
61,EquatorialGuinea,439,124,4,1,13,422,0,313,3,854,609
62,Eritrea,39,0,0,0,30,9,0,11,0,0,0
63,Estonia,1713,2,55,0,264,1394,4,1291,41,58955,44443
64,Eswatini,123,4,2,1,12,109,0,106,2,714,615
65,Ethiopia,162,17,4,0,93,65,0,1,0.03,26517,231
66,FaeroeIslands,187,0,0,0,185,2,0,3827,0,8241,168655
67,FalklandIslands,13,0,0,0,13,0,0,3736,0,388,111494
68,Fiji,18,0,0,0,14,4,0,20,0,1300,1450
69,Finland,5573,161,252,6,3500,1821,44,1006,45,108200,19528
70,France,174191,3640,25809,278,53972,94410,3147,2669,395,1100228,16856
71,FrenchGuiana,138,5,1,0,111,26,2,462,3,0,0
72,FrenchPolynesia,60,0,0,0,54,6,1,214,0,2697,9601
73,Gabon,397,0,6,0,93,298,1,178,3,724,325
74,Gambia,17,0,1,0,9,7,0,7,0.4,562,233
75,Georgia,610,6,9,0,269,332,6,153,2,20579,5159
76,Germany,167575,568,7190,197,137400,22985,1884,2000,86,2547052,30400
77,Ghana,2719,0,18,0,294,2407,4,88,0.6,129461,4166
78,Gibraltar,144,0,0,0,133,11,0,4274,0,2931,86997
79,Greece,2663,21,147,1,1374,1142,36,255,14,87052,8352
80,Greenland,11,0,0,0,11,0,0,194,0,1362,23992
81,Grenada,21,0,0,0,13,8,4,187,0,1406,12495
82,Guadeloupe,152,0,13,1,104,35,4,380,32,0,0
83,Guatemala,763,33,19,0,79,665,5,43,1,7200,402
84,Guinea,1856,45,11,1,597,1248,0,141,0.8,0,0
85,Guinea-Bissau,475,62,2,1,24,449,0,241,1,1500,762
86,Guyana,93,1,10,1,27,56,3,118,13,680,865
87,Haiti,101,0,12,0,10,79,0,9,1,1037,91
88,Honduras,1270,92,93,10,122,1055,10,128,9,5653,571
89,HongKong,1041,0,4,0,932,105,2,139,0.5,154989,20674
90,Hungary,3111,46,373,10,759,1979,50,322,39,86743,8979
91,Iceland,1799,0,10,0,1750,39,0,5272,29,51663,151397
92,India,52987,3587,1785,92,15331,35871,0,38,1,1276781,925
93,Indonesia,12438,367,895,23,2317,9226,0,45,3,121547,444
94,Iran,101650,1680,6418,78,81587,13645,2735,1210,76,531275,6325
95,Iraq,2480,49,102,0,1602,776,0,62,3,117726,2927
96,Ireland,22248,265,1375,36,13386,7487,93,4506,278,214761,43493
97,IsleofMan,327,1,23,0,271,33,19,3846,270,3459,40678
98,Israel,16314,25,238,0,10527,5549,90,1885,27,423125,48885
99,Italy,214457,1444,29684,369,93245,91528,1333,3547,491,2310929,38221
100,IvoryCoast,1464,0,18,0,701,745,0,56,0.7,11448,434
101,Jamaica,473,2,9,0,56,408,0,160,3,5993,2024
102,Japan,15253,0,556,0,4496,10201,308,121,4,186343,1473
103,Jordan,473,2,9,0,377,87,5,46,0.9,97110,9518
104,Kazakhstan,4422,217,30,1,1408,2984,31,236,2,336480,17920
105,Kenya,582,47,26,2,190,366,1,11,0.5,25861,481
106,Kuwait,6289,485,42,2,2219,4028,88,1473,10,196397,45988
107,Kyrgyzstan,871,28,12,1,614,245,13,134,2,59490,9118
108,Laos,19,0,0,0,10,9,0,3,0,2505,344
109,Latvia,900,4,17,0,464,419,3,477,9,68627,36384
110,Lebanon,750,9,25,0,206,519,43,110,4,44701,6549
111,Liberia,178,8,20,0,75,83,0,35,4,0,0
112,Libya,64,1,3,0,24,37,0,9,0.4,2338,340
113,Liechtenstein,82,0,1,0,55,26,0,2151,26,900,23605
114,Lithuania,1428,5,48,2,718,662,17,525,18,156493,57486
115,Luxembourg,3851,11,98,2,3452,301,20,6152,157,50533,80726
116,MSZaandam,9,0,2,0,0,7,0,0,0,0,0
117,Macao,45,0,0,0,39,6,1,69,0,0,0
118,Madagascar,158,7,0,0,101,57,1,6,0,3907,141
119,Malawi,43,2,3,0,9,31,1,2,0.2,961,50
120,Malaysia,6428,45,107,1,4702,1619,22,199,3,222150,6864
121,Maldives,618,45,2,0,20,596,2,1143,4,9863,18246
122,Mali,631,19,32,0,261,338,0,31,2,2172,107
123,Malta,484,2,5,0,407,72,0,1096,11,38337,86825
124,Martinique,182,1,14,0,83,85,5,485,37,0,0
125,Mauritania,8,0,1,0,6,1,0,2,0.2,1842,396
126,Mauritius,332,0,10,0,320,2,3,261,8,55494,43635
127,Mayotte,739,0,9,0,352,378,6,2709,33,3400,12463
128,Mexico,26025,1120,2507,236,16810,6708,378,202,19,100041,776
129,Moldova,4476,113,143,7,1658,2675,237,1110,35,20447,5069
130,Monaco,95,0,4,0,82,9,1,2421,102,0,0
131,Mongolia,41,0,0,0,13,28,0,13,0,8946,2729
132,Montenegro,324,0,8,0,261,55,2,516,13,7816,12445
133,Montserrat,11,0,1,0,7,3,1,2204,200,36,7212
134,Morocco,5408,189,183,2,2017,3208,1,147,5,52958,1435
135,Mozambique,81,0,0,0,19,62,0,3,0,2867,92
136,Myanmar,161,0,6,0,50,105,0,3,0.1,9037,166
137,Namibia,16,0,0,0,8,8,0,6,0,1122,442
138,Nepal,99,17,0,0,22,77,0,3,0,64492,2213
139,Netherlands,41319,232,5204,36,0,35865,628,2411,304,243277,14198
140,NewCaledonia,18,0,0,0,17,1,1,63,0,5052,17695
141,NewZealand,1488,2,21,1,1316,151,2,309,4,160700,33325
142,Nicaragua,16,0,5,0,7,4,0,2,0.8,0,0
143,Niger,763,0,38,0,543,182,0,32,2,5375,222
144,Nigeria,2950,0,98,0,481,2371,4,14,0.5,21208,103
145,NorthMacedonia,1539,13,88,2,1057,394,21,739,42,17836,8561
146,Norway,7976,21,216,1,32,7728,27,1471,40,189657,34984
147,Oman,2903,168,13,0,888,2002,17,568,3,40459,7923
148,Pakistan,23214,1165,544,30,6281,16389,111,105,2,232582,1053
149,Palestine,371,0,2,0,174,195,0,73,0.4,32200,6312
150,Panama,7523,136,210,7,823,6490,88,1744,49,36483,8455
151,PapuaNewGuinea,8,0,0,0,8,0,0,0.9,0,2402,268
152,Paraguay,440,9,10,0,142,288,9,62,1,11913,1670
153,Peru,51189,0,1444,0,15413,34332,709,1553,44,406579,12331
154,Philippines,10004,320,658,21,1506,7840,31,91,6,140134,1279
155,Poland,14740,309,733,17,4655,9352,160,389,19,410468,10846
156,Portugal,26182,480,1089,15,2076,23017,136,2568,107,470234,46116
157,Qatar,17972,830,12,0,2070,15890,72,6238,4,112963,39209
158,Romania,14107,270,864,23,5788,7455,244,733,45,217139,11287
159,Russia,165929,10559,1537,86,21327,143065,2300,1137,11,4633731,31752
160,Rwanda,261,0,0,0,129,132,0,20,0,35992,2779
161,Réunion,425,1,0,0,300,125,2,475,0,17200,19211
162,S.Korea,10806,2,255,1,9333,1218,55,211,5,643095,12543
163,SaintKittsandNevis,15,0,0,0,12,3,0,282,0,318,5978
164,SaintLucia,18,0,0,0,15,3,0,98,0,446,2429
165,SaintMartin,38,0,3,0,29,6,1,983,78,0,0
166,SaintPierreMiquelon,1,0,0,0,0,1,0,173,0,0,0
167,SanMarino,608,19,41,0,97,470,4,17919,1208,2660,78394
168,SaoTomeandPrincipe,174,0,3,0,4,167,0,794,14,175,799
169,SaudiArabia,31938,1687,209,9,6783,24946,143,917,6,389659,11193
170,Senegal,1433,104,12,1,493,928,6,86,0.7,18969,1133
171,Serbia,9791,114,203,3,1971,7617,48,1121,23,117474,13445
172,Seychelles,11,0,0,0,8,3,0,112,0,0,0
173,SierraLeone,225,26,14,3,54,157,0,28,2,0,0
174,Singapore,20198,788,20,2,1634,18544,23,3452,3,175604,30016
175,SintMaarten,76,0,14,0,44,18,7,1773,327,329,7673
176,Slovakia,1429,8,25,0,762,642,4,262,5,104606,19160
177,Slovenia,1448,3,99,1,246,1103,14,697,48,58923,28343
178,Somalia,873,38,39,1,87,747,2,55,2,0,0
179,SouthAfrica,7572,0,148,0,2746,4678,36,128,2,268064,4520
180,SouthSudan,58,6,0,0,0,58,0,5,0,1247,111
181,Spain,253682,3121,25857,244,159359,68466,2075,5426,553,1932455,41332
182,SriLanka,797,26,9,0,215,573,1,37,0.4,29378,1372
183,St.Barth,6,0,0,0,6,0,0,607,0,0,0
184,St.VincentGrenadines,17,0,0,0,9,8,0,153,0,137,1235
185,Sudan,852,74,45,0,80,727,0,19,1,0,0
186,Suriname,10,0,1,0,9,0,0,17,2,404,689
187,Sweden,23918,702,2941,87,4074,16903,425,2368,291,148500,14704
188,Switzerland,30060,51,1795,0,25400,2865,121,3473,207,290365,33550
189,Syria,45,1,3,0,27,15,0,3,0.2,0,0
190,Taiwan,439,1,6,0,339,94,0,18,0.3,65589,2754
191,Tajikistan,379,86,8,3,0,371,0,40,0.8,0,0
192,Tanzania,480,0,16,0,167,297,7,8,0.3,0,0
193,Thailand,2989,1,55,1,2761,173,61,43,0.8,227860,3264
194,Timor-Leste,24,0,0,0,20,4,0,18,0,664,504
195,Togo,128,0,9,0,77,42,0,15,1,8835,1067
196,TrinidadandTobago,116,0,8,0,103,5,0,83,6,2114,1511
197,Tunisia,1022,0,43,0,482,497,17,86,4,25165,2129
198,Turkey,131744,2253,3584,64,78202,49958,1278,1562,42,1234724,14640
199,TurksandCaicos,12,0,1,0,6,5,0,310,26,107,2764
200,UAE,15738,546,157,11,3359,12222,1,1591,16,1200000,121330
201,UK,201101,6111,30076,649,0,170681,1559,2962,443,1448010,21330
202,Uganda,98,0,0,0,55,43,0,2,0,44110,964
203,Ukraine,13184,487,327,11,2097,10760,169,301,7,144283,3299
204,Uruguay,670,0,17,0,468,185,10,193,5,23811,6855
205,Uzbekistan,2233,26,10,0,1577,646,8,67,0.3,325000,9710
206,VaticanCity,12,1,0,0,2,10,0,14981,0,0,0
207,Venezuela,367,6,10,0,164,193,1,13,0.4,490851,17262
208,Vietnam,271,0,0,0,232,39,8,3,0,261004,2681
209,WesternSahara,6,0,0,0,5,1,0,10,0,0,0
210,Yemen,25,3,5,1,1,19,0,0.8,0.2,120,4
211,Zambia,139,1,4,1,92,43,1,8,0.2,7277,396
212,Zimbabwe,34,0,4,0,5,25,0,2,0.3,7642,514
